,loss_best,accuracy_best,data.nb_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
0,0.24558822810649872,0.0,2,qatool,4,2,2,2612
1,6.024665566428666e-08,1.0,2,qatool,8,2,2,6248
2,2.0576532477889486e-08,1.0,2,qatool,12,2,2,10908
3,1.4054793773254914e-08,1.0,2,qatool,16,2,2,16592
4,1.2666949267270411e-08,1.0,2,qatool,20,2,2,23300
5,1.12814939612349e-08,1.0,2,qatool,24,2,2,31032
6,7.266906187908262e-09,1.0,2,qatool,28,2,2,39788
7,6.38449471068725e-09,1.0,2,qatool,32,2,2,49568
8,5.64243585188251e-09,1.0,2,qatool,36,2,2,60372
9,5.820552928526013e-09,1.0,2,qatool,40,2,2,72200
10,3.3370382013231392e-09,1.0,2,qatool,44,2,2,85052
11,2.5466038167110128e-09,1.0,2,qatool,48,2,2,98928
12,2.982958324793117e-09,1.0,2,qatool,52,2,2,113828
13,5.067549158077611e-10,1.0,2,qatool,56,2,2,129752
14,1.231739377161034e-09,1.0,2,qatool,60,2,2,146700
15,3.5858194191717985e-10,1.0,2,qatool,64,2,2,164672
16,1.0258974225685336e-10,1.0,2,qatool,68,2,2,183668
17,5.70440639169334e-10,1.0,2,qatool,72,2,2,203688
18,3.012277371983174e-10,1.0,2,qatool,76,2,2,224732
19,1.0322537269402687e-09,1.0,2,qatool,80,2,2,246800
20,5.260836766218802e-10,1.0,2,qatool,88,2,2,294008
21,4.103589690274134e-10,1.0,2,qatool,96,2,2,345312
22,9.621928948044811e-11,1.0,2,qatool,104,2,2,400712
23,0.0,1.0,2,qatool,112,2,2,460208
24,0.0,1.0,2,qatool,120,2,2,523800
25,0.0,1.0,2,qatool,128,2,2,591488
26,5.500910265254788e-05,1.0,2,qa,4,2,2,2612
27,2.643031216109648e-08,1.0,2,qa,8,2,2,6248
28,9.080141083472881e-09,1.0,2,qa,12,2,2,10908
29,8.732802925237593e-09,1.0,2,qa,16,2,2,16592
30,6.589457868244608e-09,1.0,2,qa,20,2,2,23300
31,4.30845625842835e-09,1.0,2,qa,24,2,2,31032
32,2.8935556173337318e-09,1.0,2,qa,28,2,2,39788
33,8.07403921498917e-10,1.0,2,qa,32,2,2,49568
34,0.0,1.0,2,qa,36,2,2,60372
35,0.0,1.0,2,qa,40,2,2,72200
36,4.1727160615678827e-10,1.0,2,qa,44,2,2,85052
37,0.0,1.0,2,qa,48,2,2,98928
38,3.6623434840343805e-10,1.0,2,qa,52,2,2,113828
39,0.0,1.0,2,qa,56,2,2,129752
40,0.0,1.0,2,qa,60,2,2,146700
41,0.0,1.0,2,qa,64,2,2,164672
