,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params,alpha
0,4.344670378486626e-05,1.0,8192,qa,0,64,2,2,164672,0.0
1,1.6238052921835333e-05,1.0,8192,qa,0,68,2,2,183668,0.0
2,3.141676870654919e-06,1.0,8192,qa,0,72,2,2,203688,0.0
3,8.718619710634812e-07,1.0,8192,qa,0,76,2,2,224732,0.0
4,2.8382950745253765e-07,1.0,8192,qa,0,80,2,2,246800,0.0
5,2.1790714299640968e-07,1.0,8192,qa,0,84,2,2,269892,0.0
6,1.197036709754684e-07,1.0,8192,qa,0,88,2,2,294008,0.0
7,8.352225222552079e-08,1.0,8192,qa,0,92,2,2,319148,0.0
8,8.723245770170251e-08,1.0,8192,qa,0,96,2,2,345312,0.0
9,2.8587084699438492e-08,1.0,8192,qa,0,100,2,2,372500,0.0
10,3.437223483615526e-08,1.0,8192,qa,0,104,2,2,400712,0.0
11,0.0023341088090091944,0.982330322265625,8192,qa,0,64,2,2,164672,0.25
12,0.00059302564477548,0.99981689453125,8192,qa,0,68,2,2,183668,0.25
13,0.00012620503548532724,1.0,8192,qa,0,72,2,2,203688,0.25
14,4.905653258902021e-05,1.0,8192,qa,0,76,2,2,224732,0.25
15,2.788534402498044e-05,1.0,8192,qa,0,80,2,2,246800,0.25
16,1.1290713700873312e-05,1.0,8192,qa,0,84,2,2,269892,0.25
17,5.901459644519491e-06,1.0,8192,qa,0,88,2,2,294008,0.25
18,2.8461686270020436e-06,1.0,8192,qa,0,92,2,2,319148,0.25
19,3.519234951454564e-06,1.0,8192,qa,0,96,2,2,345312,0.25
20,1.7988193121709628e-06,1.0,8192,qa,0,100,2,2,372500,0.25
21,1.0743353868747363e-06,1.0,8192,qa,0,104,2,2,400712,0.25
22,0.009537364356219769,0.896881103515625,8192,qa,0,64,2,2,164672,0.5
23,0.0035002983640879393,0.98956298828125,8192,qa,0,68,2,2,183668,0.5
24,0.0012421016581356525,0.996002197265625,8192,qa,0,72,2,2,203688,0.5
25,0.0001985727867577225,1.0,8192,qa,0,76,2,2,224732,0.5
26,0.00018607493257150054,1.0,8192,qa,0,80,2,2,246800,0.5
27,3.7899812014074996e-05,1.0,8192,qa,0,84,2,2,269892,0.5
28,2.1891646611038595e-05,1.0,8192,qa,0,88,2,2,294008,0.5
29,1.4323083632916678e-05,1.0,8192,qa,0,92,2,2,319148,0.5
30,5.2591772146115545e-06,1.0,8192,qa,0,96,2,2,345312,0.5
31,4.436681592778768e-06,1.0,8192,qa,0,100,2,2,372500,0.5
32,2.1197852220211644e-06,1.0,8192,qa,0,104,2,2,400712,0.5
33,0.01852562092244625,0.766510009765625,8192,qa,0,64,2,2,164672,0.75
34,0.011835766024887562,0.88702392578125,8192,qa,0,68,2,2,183668,0.75
35,0.003943283576518297,0.96295166015625,8192,qa,0,72,2,2,203688,0.75
36,0.0008169194334186614,0.99951171875,8192,qa,0,76,2,2,224732,0.75
37,0.0006336116348393261,1.0,8192,qa,0,80,2,2,246800,0.75
38,0.00021031717187725008,1.0,8192,qa,0,84,2,2,269892,0.75
39,0.00011141388677060604,1.0,8192,qa,0,88,2,2,294008,0.75
40,4.586697832564823e-05,1.0,8192,qa,0,92,2,2,319148,0.75
41,1.953542960109189e-05,1.0,8192,qa,0,96,2,2,345312,0.75
42,1.145119131251704e-05,1.0,8192,qa,0,100,2,2,372500,0.75
43,6.450248747569276e-06,1.0,8192,qa,0,104,2,2,400712,0.75
44,0.041081447154283524,0.438812255859375,8192,qa,0,64,2,2,164672,1.0
45,0.034224048256874084,0.561309814453125,8192,qa,0,68,2,2,183668,1.0
46,0.01614721119403839,0.804901123046875,8192,qa,0,72,2,2,203688,1.0
47,0.00276264944113791,0.992156982421875,8192,qa,0,76,2,2,224732,1.0
48,0.00362360174767673,0.96954345703125,8192,qa,0,80,2,2,246800,1.0
49,0.0009926336351782084,0.999755859375,8192,qa,0,84,2,2,269892,1.0
50,0.0005970232887193561,1.0,8192,qa,0,88,2,2,294008,1.0
51,0.0003164808149449527,0.999969482421875,8192,qa,0,92,2,2,319148,1.0
52,7.973091851454228e-05,1.0,8192,qa,0,96,2,2,345312,1.0
53,3.182325599482283e-05,1.0,8192,qa,0,100,2,2,372500,1.0
54,1.4661199202237185e-05,1.0,8192,qa,0,104,2,2,400712,1.0
