dataset_size,in-tool,in-weight
0,29.2,
10k,29.2,718.1666666666666
1k,29.2,82.66666666666667
500,29.2,52.666666666666664
50k,29.2,4333.833333333333
5k,29.2,399.3333333333333
all,29.2,
